,user_id_idx,item_id_idx,pred_items,intrsctn_itm@1,recall@1,precision@1,ranks@1,ndcg@1,mrr@1,intrsctn_itm@3,recall@3,precision@3,ranks@3,ndcg@3,mrr@3,intrsctn_itm@5,recall@5,precision@5,ranks@5,ndcg@5,mrr@5,intrsctn_itm@10,recall@10,precision@10,ranks@10,ndcg@10,mrr@10,intrsctn_itm@20,recall@20,precision@20,ranks@20,ndcg@20,mrr@20,intrsctn_itm@50,recall@50,precision@50,ranks@50,ndcg@50,mrr@50,intrsctn_itm@100,recall@100,precision@100,ranks@100,ndcg@100,mrr@100
0,0,"[437, 40]","[2211, 2212, 2326, 1604, 609, 1916, 642, 1893, 2237, 858, 2027, 859, 1898, 860, 760, 1790, 1892, 1705, 1959, 1648, 551, 1911, 2369, 136, 2210, 703, 2429, 2256, 1302, 1702, 461, 1522, 1582, 981, 1994, 2310, 619, 1177, 2177, 522, 1850, 2142, 2337, 1489, 2459, 2311, 800, 2290, 2098, 1503, 404, 2444, 849, 2108, 510, 2144, 1484, 1546, 2385, 1134, 1029, 2379, 974, 475, 1105, 1689, 1915, 1211, 865, 1404, 2129, 1891, 1873, 247, 1704, 938, 866, 2500, 864, 1943, 1842, 1839, 963, 1360, 2376, 1421, 223, 1011, 811, 1534, 1896, 1627, 1353, 611, 480, 1549, 1076, 1623, 1485, 2522]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
1,1,[1239],"[2326, 1916, 2369, 2086, 1481, 811, 247, 1106, 1842, 2373, 1300, 2363, 1915, 2522, 438, 1275, 2223, 1976, 2306, 1582, 2142, 1800, 1196, 2470, 283, 1604, 340, 550, 192, 2454, 1613, 775, 2042, 800, 2346, 151, 1115, 1549, 794, 147, 1964, 1826, 2351, 1705, 1003, 1268, 1251, 465, 486, 1873, 190, 373, 127, 1994, 1503, 165, 1612, 760, 992, 1969, 1712, 2354, 498, 771, 187, 1897, 2227, 1551, 281, 1607, 2058, 2423, 2372, 2292, 2085, 2084, 2052, 571, 385, 1829, 1702, 1340, 511, 970, 125, 240, 574, 925, 1980, 888, 182, 1398, 917, 1216, 1178, 1089, 309, 101, 510, 2520]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
2,2,[17],"[1766, 1604, 2429, 2326, 1503, 1196, 1897, 2292, 694, 1551, 1489, 2140, 2144, 1916, 1252, 1381, 1982, 1157, 1994, 1263, 2212, 513, 1991, 1353, 1063, 81, 1786, 2119, 1746, 760, 2142, 2475, 2462, 2515, 1911, 642, 2398, 2466, 2108, 2341, 1484, 1556, 1959, 563, 609, 2477, 1333, 722, 1468, 2113, 2516, 1170, 1582, 2211, 2311, 122, 1121, 1209, 1029, 710, 1469, 1617, 1373, 2347, 1739, 2522, 2459, 1368, 2092, 1940, 1310, 833, 765, 1138, 337, 2290, 217, 2256, 2293, 1822, 1600, 1304, 1435, 1837, 1404, 1216, 800, 1408, 1522, 686, 1320, 1534, 1704, 2098, 1943, 684, 2430, 974, 477, 461]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
3,3,[31],"[2371, 1904, 2509, 1134, 1353, 1388, 1106, 2393, 1604, 2271, 1944, 2239, 1550, 716, 2149, 1495, 1915, 2326, 1678, 2142, 623, 2322, 1617, 1364, 1513, 2081, 2359, 1105, 638, 1474, 594, 2210, 2181, 783, 1893, 1870, 1441, 118, 974, 1964, 796, 1681, 1440, 2105, 1708, 2212, 1994, 89, 1627, 1572, 1216, 917, 1096, 621, 769, 1006, 412, 1916, 1503, 554, 2354, 541, 1972, 2429, 2043, 1089, 1680, 223, 2278, 1917, 2027, 665, 829, 932, 1085, 2456, 992, 628, 1340, 2218, 2109, 2369, 981, 1551, 1120, 703, 1201, 1729, 1911, 507, 505, 2444, 1295, 1451, 704, 2502, 1057, 1135, 1039, 1671]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
4,4,[37],"[1000, 2321, 127, 1033, 1878, 1604, 642, 1852, 2322, 1416, 2326, 2356, 248, 609, 1942, 1462, 1802, 2211, 1496, 2484, 2409, 1489, 948, 1916, 454, 1582, 125, 1729, 461, 1411, 941, 1911, 474, 741, 2212, 1353, 1221, 2232, 1994, 131, 1253, 1292, 2008, 2290, 1316, 1985, 1116, 1315, 1495, 2002, 1235, 1739, 1883, 994, 1484, 2459, 2280, 760, 2360, 1211, 154, 1705, 2429, 2108, 625, 1271, 2369, 1870, 1032, 399, 1031, 1734, 1468, 1121, 1873, 1236, 675, 1898, 693, 2129, 2032, 1793, 1794, 126, 938, 1086, 966, 1737, 1373, 2517, 775, 2390, 989, 1106, 129, 2330, 2142, 217, 1196, 1943]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
5,7,"[63, 60]","[2326, 1916, 2265, 2211, 992, 1614, 1300, 1604, 2058, 2227, 1870, 2513, 2369, 2341, 1503, 2429, 1106, 760, 1225, 496, 1551, 1495, 2027, 642, 1915, 2057, 1898, 609, 1802, 1364, 2129, 1920, 1489, 2517, 787, 2140, 2404, 1959, 858, 1381, 2256, 1338, 1893, 551, 1522, 859, 2486, 1582, 1991, 1648, 811, 1441, 1029, 2311, 1994, 247, 1842, 1101, 796, 2237, 1331, 1325, 1967, 2522, 10, 1157, 2108, 2373, 2253, 860, 2363, 800, 1484, 136, 1763, 1790, 841, 1539, 555, 1333, 1349, 2337, 1964, 1891, 959, 1946, 438, 2224, 524, 1705, 1076, 1389, 1873, 1209, 1942, 504, 2194, 461, 790, 2328]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
6,8,"[67, 66]","[1870, 551, 636, 1604, 1331, 642, 2243, 2326, 2371, 1364, 1915, 1699, 1134, 461, 635, 1898, 2429, 1916, 1196, 638, 1765, 2027, 1000, 1441, 2086, 2484, 1348, 554, 938, 2271, 666, 1911, 1503, 637, 1835, 1411, 857, 2244, 1832, 2016, 1582, 363, 1786, 1211, 1495, 670, 1106, 1252, 2459, 741, 1704, 2347, 1869, 1648, 614, 1994, 901, 131, 1043, 2387, 1522, 283, 1985, 1551, 1275, 1381, 609, 2369, 870, 1767, 2265, 2290, 553, 390, 2513, 2038, 210, 2084, 1086, 2504, 618, 2108, 1157, 2341, 1404, 1873, 1484, 634, 1614, 1943, 2230, 1286, 693, 989, 1332, 2311, 330, 2140, 678, 448]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
7,9,[158],"[1300, 1897, 1349, 2291, 937, 2211, 609, 2027, 914, 1556, 979, 1489, 1898, 551, 1298, 771, 1826, 2151, 1604, 1648, 2447, 230, 1790, 2385, 1951, 806, 792, 2265, 2326, 2448, 541, 686, 1614, 151, 1503, 1481, 710, 1527, 1904, 1551, 858, 859, 486, 860, 57, 1127, 496, 1916, 2140, 1959, 2224, 1387, 2355, 2237, 2509, 1178, 1322, 1857, 760, 1388, 1915, 1076, 1196, 524, 1029, 1381, 1275, 578, 1576, 1976, 522, 2001, 1994, 1225, 2311, 2337, 29, 1991, 958, 217, 2486, 1912, 579, 2386, 977, 136, 1380, 2042, 2210, 483, 1839, 2278, 1911, 1408, 1193, 1765, 52, 1495, 1103, 1022]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
8,10,"[80, 82]","[2144, 694, 2515, 2292, 1263, 2477, 1310, 563, 765, 1822, 513, 194, 1484, 2263, 2225, 1604, 1121, 2012, 402, 2143, 2293, 1897, 2218, 2347, 1837, 1877, 1759, 19, 1600, 1795, 2123, 568, 2516, 2478, 1970, 1961, 400, 1134, 577, 2312, 564, 1662, 1821, 2170, 2169, 18, 2445, 404, 2513, 1000, 2256, 1309, 996, 1476, 1304, 1522, 53, 1680, 1290, 436, 1533, 2311, 1106, 1178, 2010, 250, 958, 961, 960, 1524, 2344, 1366, 1464, 1787, 1911, 2328, 975, 1015, 461, 609, 1029, 1186, 245, 100, 1408, 692, 566, 642, 1827, 5, 1438, 1556, 1915, 403, 1129, 2447, 749, 2271, 1748, 570]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
9,12,[98],"[2371, 2211, 1604, 2326, 1503, 1551, 858, 859, 2429, 2237, 1893, 2140, 1994, 860, 1381, 1617, 1916, 1991, 2142, 642, 760, 1489, 594, 2108, 974, 1364, 136, 118, 1911, 1333, 524, 1345, 2337, 1441, 223, 1106, 1440, 1302, 1550, 1959, 554, 1484, 2212, 1209, 2369, 1006, 2210, 2256, 619, 2144, 1177, 1582, 1460, 1748, 665, 1522, 2290, 2310, 1121, 1495, 2459, 2341, 545, 2456, 708, 1898, 469, 1216, 2027, 412, 849, 477, 1404, 1943, 1105, 1704, 862, 2052, 1858, 1353, 1613, 2515, 1153, 1157, 2100, 2311, 1372, 2347, 1468, 1952, 1600, 1057, 704, 461, 829, 2354, 1837, 833, 1915, 1664]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
10,13,[93],"[2086, 2326, 642, 1869, 1275, 2212, 2042, 1534, 2211, 1994, 1916, 1893, 1990, 283, 2129, 760, 2108, 461, 1969, 1101, 2258, 1196, 775, 1604, 2058, 2237, 1959, 2038, 1349, 2256, 1522, 2098, 630, 1460, 1469, 800, 2304, 1211, 1942, 2351, 63, 1503, 708, 1892, 1870, 2341, 938, 1253, 1858, 1252, 384, 1582, 992, 2310, 611, 2311, 477, 1721, 1505, 2168, 1551, 1664, 1350, 710, 2130, 2429, 371, 858, 1927, 2369, 1891, 2177, 870, 2084, 2520, 1495, 703, 1348, 2085, 757, 1219, 575, 2246, 2322, 2092, 2328, 391, 2227, 1086, 1343, 1105, 1706, 2216, 1197, 448, 1941, 1381, 859, 1485, 1696]",[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0,[],0.0,0.0
